Vietovė,Objekto tipas,Kaina,More info
"
Trakų r. sav., Trakai
",Namas,€990 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-karaimu-g-isskirtiniai-ir-unikalus-namai-ant-galves-ezero-827929
"
Trakų r. sav., Šventininkai
",Namas,€198 600,https://www.kampas.lt/skelbimai/namas-trakuose-sventininku-k-pievu-g-parduodami-du-statomi-vieno-auksto-a-klases-827732
"
Trakų r. sav., Grendavė
",Namas,€259 000,https://www.kampas.lt/skelbimai/namas-trakuose-grendaves-k-naujakuriu-g-10kw-saules-jegaineparduodamas-pilnai-827332
"
Trakų r. sav., Dėdeliškės
",Namas,€175 000,https://www.kampas.lt/skelbimai/namas-trakuose-dedeliskiu-k-saltiniu-g-parduodamas-127-m-namas-traku-r-dedeliskiu-k-799756
"
Trakų r. sav., Rūdiškės
",Namas,€168 000,https://www.kampas.lt/skelbimai/namas-trakuose-rudiskiu-k-traku-raj-rudiskiu-miestelyje-vos-36-km-nuo-vilniaus-789700
"
Trakų r. sav., Trakai
",Namas,€197 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-sodziaus-g-trakuose-sodziaus-g-tarp-sodziaus-g-ir-alyvu-g-826726
"
Trakų r. sav., Moluvėnai
",Namas,€149 000,https://www.kampas.lt/skelbimai/namas-trakuose-moluvenu-k-transporto-g-parduodamas-vieno-auksto-namas-traku-rajone-826459
"
Trakų r. sav., Dobrovolė
",Namas,€165 000,https://www.kampas.lt/skelbimai/namas-trakuose-dobrovoles-k-vasario-11-d-skelbiama-atvitu-duru-diena-lauksime-jusu-822264
"
Trakų r. sav., Onuškis
",Namas,€12 000,https://www.kampas.lt/skelbimai/namas-trakuose-onuskio-mstl-traku-g-parduodama-13-dalis-3996-kv-m-gyvenamojo-namo-su-826096
"
Trakų r. sav., Semeliškės
",Namas,€390 000,https://www.kampas.lt/skelbimai/namas-trakuose-semeliskiu-k-unikali-sodyba-su-tvenkiniu-ir-nestrevancio-ezero-825924
"
Trakų r. sav., Gratiškės
",Namas,€169 000,https://www.kampas.lt/skelbimai/namas-trakuose-gratiskiu-k-pakalnes-g-gamtos-apsuptyje-pilnai-irengti-2022-m-822578
"
Trakų r. sav., Lentvaris
",Namas,€98 700,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-817389
"
Trakų r. sav., Matiškė
",Namas,€134 700,https://www.kampas.lt/skelbimai/namas-trakuose-matiskes-k-liepu-g-821222
"
Trakų r. sav., Bražuolė
",Namas,€237 000,https://www.kampas.lt/skelbimai/namas-trakuose-brazuoles-k-parduodamas-jaukus-namas-gamtos-apsuptyje-prie-angelu-825625
"
Trakų r. sav., Lentvaris
",Namas,€250 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-irengtas-dvieju-aukstu-namas-su-garazu-ir-825571
"
Trakų r. sav., Račkūnai
",Namas,€115 000,https://www.kampas.lt/skelbimai/namas-trakuose-rackunu-k-medeines-g-nepraleiskite-progos-issirinkti-savo-svajoniu-825462
"
Trakų r. sav., Onuškis
",Namas,€24 000,https://www.kampas.lt/skelbimai/namas-trakuose-onuskio-mstl-traku-g-parduodamas-11383-kv-m-gyvenamasis-namas-su-10-a-825422
"
Trakų r. sav., Lentvaris
",Namas,€39 900,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-namo-dalis-butasnamo-dalis-butas-lentvaryje-autonominis-825276
"
Trakų r. sav., Gratiškės
",Namas,€283 000,https://www.kampas.lt/skelbimai/namas-trakuose-gratiskiu-k-30-min-nuo-vilniaus-centro-salia-traku-ir-tony-resort-825229
"
Trakų r. sav., Jogėliškės
",Namas,€39 000,https://www.kampas.lt/skelbimai/namas-trakuose-jogeliskiu-k-taikoma-didele-nuolaida-5000-eur-kaina-sumazinta-nuo-671217
"
Trakų r. sav., Vosyliukai
",Namas,€40 000,https://www.kampas.lt/skelbimai/namas-trakuose-vosyliuku-k-stirniu-g-parduodamas-beveik-7-aru-sklypas-traku-r-sav-824926
"
Trakų r. sav., Pilialaukis
",Namas,€141 000,https://www.kampas.lt/skelbimai/namas-trakuose-pilialaukio-k-dvaro-g-traku-slenis-tavo-seimos-miestas-naujoje-150-824896
"
Trakų r. sav., Pilialaukis
",Namas,€143 000,https://www.kampas.lt/skelbimai/namas-trakuose-pilialaukio-k-dvaro-g-traku-slenis-tavo-seimos-miestas-naujoje-150-824895
"
Trakų r. sav., Pilialaukis
",Namas,€139 000,https://www.kampas.lt/skelbimai/namas-trakuose-pilialaukio-k-dvaro-g-traku-slenis-tavo-seimos-miestas-naujoje-150-824894
"
Trakų r. sav., Pilialaukis
",Namas,€146 000,https://www.kampas.lt/skelbimai/namas-trakuose-pilialaukio-k-dvaro-g-traku-slenis-tavo-seimos-miestas-naujoje-150-824893
"
Trakų r. sav., Moluvėnai
",Namas,€160 000,https://www.kampas.lt/skelbimai/namas-trakuose-moluvenu-k-moluvenu-g-objekto-id-12997-parduodamas-gyvenamasis-namas-823811
"
Trakų r. sav., Lentvaris
",Namas,€189 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-atnaujintas-gyvenamasis-namas-su-miesto-821795
"
Trakų r. sav., Vosyliukai
",Namas,€140 000,https://www.kampas.lt/skelbimai/namas-trakuose-vosyliuku-k-geliu-g-parduodamas-paskutinis-namas-jaukioje-tik-8-namu-821284
"
Trakų r. sav., Grendavė
",Namas,€139 000,https://www.kampas.lt/skelbimai/namas-trakuose-grendaves-k-naujakuriu-g-parduodamas-pilnai-irengtas-ir-funkcionalus-819763
"
Trakų r. sav., Lentvaris
",Namas,€144 900,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-siuolaikiskas-4-miegamuju-kambariu-dvieju-817405
"
Trakų r. sav., Lentvaris
",Namas,€54 700,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-58-kvm-nebaigtos-statybos-namas-lentvario-m-817393
"
Trakų r. sav., Lentvaris
",Namas,€240 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-individualus-217-kvm-namas-klevu-g-lentvaryje-817390
"
Trakų r. sav., Lentvaris
",Namas,€59 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-120-kvm-5-k-namas-klevu-g-3-trakuose-bendra-817382
"
Trakų r. sav., Lentvaris
",Namas,€136 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-salia-misko-parduodamas-15-a-namu-valdos-paskirties-817363
"
Trakų r. sav., Lentvaris
",Namas,€338 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-parduodamas-pilnai-ir-kokybiskai-irengtas-gyvenamasis-817360
"
Trakų r. sav., Lentvaris
",Namas,€45 000,https://www.kampas.lt/skelbimai/namas-trakuose-lentvario-k-lentvaryje-centrineje-dalyje-parduodama-namo-dalis-6193-817353
"
Trakų r. sav., Jovaišiškės
",Namas,€32 000,https://www.kampas.lt/skelbimai/namas-trakuose-jovaisiskiu-k-parduodama-sodyba-traku-rajone-su-515-ha-817044
"
Trakų r. sav., Lausgeniai
",Namas,€275 000,https://www.kampas.lt/skelbimai/namas-trakuose-lausgeniu-k-traku-g-aukstadvario-krastas-vienas-graziausiu-lietuvos-766872
"
Trakų r. sav., Kudrionys
",Namas,€82 000,https://www.kampas.lt/skelbimai/namas-trakuose-kudrioniu-k-parduodamas-poilsio-paskirties-pastatas-prie-bitiskiu-815206
"
Trakų r. sav., Trakai
",Namas,€225 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-nugaletoju-g-813758
"
Trakų r. sav., Senieji Trakai
",Namas,€152 000,https://www.kampas.lt/skelbimai/namas-trakuose-senuju-traku-k-draugystes-g-nepraleiskite-progos-issirinkti-savo-813321
"
Trakų r. sav., Senieji Trakai
",Namas,€159 000,https://www.kampas.lt/skelbimai/namas-trakuose-senuju-traku-k-draugystes-g-nepraleiskite-progos-issirinkti-savo-813320
"
Trakų r. sav., Kiemeliškės
",Namas,€299 000,https://www.kampas.lt/skelbimai/namas-trakuose-kiemeliskiu-k-grigiskiu-g-parduodamas-203-kvm-namas-sublokuotas-per-811002
"
Trakų r. sav., Žemieji Semeniukai
",Namas,€179 000,https://www.kampas.lt/skelbimai/namas-trakuose-zemuju-semeniuku-k-lietaus-g-vos-uz-30-min-kelio-nuo-vilniaus-miesto-810726
"
Trakų r. sav., Trakai
",Namas,€380 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-silo-g-parduodamas-erdvus-namas-tarp-4-ezeru-trakuosenamo-807042
"
Trakų r. sav., Kudrionių Giria
",Namas,€60 000,https://www.kampas.lt/skelbimai/namas-trakuose-kudrioniu-girios-k-parduodamas-poilsio-paskirties-pastatas-su-807282
"
Trakų r. sav., Onuškis
",Namas,€16 500,https://www.kampas.lt/skelbimai/namas-trakuose-onuskio-mstl-k-petrausko-a-parduodamas-zemes-sklypas-su-namu-traku-r-787373
"
Trakų r. sav., Taučionys
",Namas,€29 000,https://www.kampas.lt/skelbimai/namas-trakuose-taucioniu-k-793666
"
Trakų r. sav., Trakai
",Namas,€159 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-nugaletoju-g-793616
"
Trakų r. sav., Gratiškės
",Namas,€65 000,https://www.kampas.lt/skelbimai/namas-trakuose-gratiskiu-k-parduodamas-sodo-namas-traku-r-gratiskiu-kgratiskiu-sodai-792951
"
Trakų r. sav., Žuklijai
",Namas,€35 000,https://www.kampas.lt/skelbimai/namas-trakuose-zukliju-k-zukliju-kaime-prie-vilkoksnio-ezero-parduodama-080-ha-ploto-792944
"
Trakų r. sav., Trakai
",Namas,€1 450 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-birutes-g-parduodama-isskirtine-rezidencija-istoriniame-traku-791382
"
Trakų r. sav., Vosyliukai
",Namas,€41 500,https://www.kampas.lt/skelbimai/namas-trakuose-vosyliuku-k-giminiu-2-asis-aklg-parduodamas-jaukiai-lukuriuojantis-790960
"
Trakų r. sav., Markutiškės
",Namas,€800 000,https://www.kampas.lt/skelbimai/namas-trakuose-markutiskiu-k-markutiskiu-kel-parduodamas-sklypas-su-statiniaissodyba-789752
"
Trakų r. sav., Dubuklė
",Namas,€299 000,https://www.kampas.lt/skelbimai/namas-trakuose-dubukles-k-parduodama-sodyba-dubuklio-kaime-pritaikyta-gyventi-789436
"
Trakų r. sav., Ismonys
",Namas,€45 000,https://www.kampas.lt/skelbimai/namas-trakuose-ismoniu-k-bartu-g-vos-11-km-nuo-traku-ismoniu-kaime-parduodama-sodyba-788865
"
Trakų r. sav., Vytautava
",Namas,€145 000,https://www.kampas.lt/skelbimai/namas-trakuose-vytautavos-k-parduodamas-4877-a-sklypas-su-namo-projektu-nuostabios-767534
"
Trakų r. sav., Kiemeliškės
",Namas,€299 000,https://www.kampas.lt/skelbimai/namas-trakuose-kiemeliskiu-k-parduodamas-203-kvm-namas-sublokuotas-per-garaza-su-776294
"
Trakų r. sav., Gratiškės
",Namas,€232 000,https://www.kampas.lt/skelbimai/namas-trakuose-gratiskiu-k-parduodamas-namas-gamtos-apsuptyje-salia-ezero-traku-737233
"
Trakų r. sav., Skynimai
",Namas,€59 000,https://www.kampas.lt/skelbimai/namas-trakuose-skynimu-k-parduodama-sodyba-skynimu-kaime-traku-r-salia-babriskiu-769448
"
Trakų r. sav., Aukštadvaris
",Namas,€179 000,https://www.kampas.lt/skelbimai/namas-trakuose-aukstadvario-mstl-zveju-g-nuostabaus-grozio-vietoje-aukstadvaryje-766442
"
Trakų r. sav., Antakalnis
",Namas,€90 000,https://www.kampas.lt/skelbimai/namas-trakuose-antakalnio-k-traku-rajone-aukstadvario-regioniniame-parke-antakalnio-698951
"
Trakų r. sav., Trakai
",Namas,€180 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-s-mikulionio-g-erdvus-24667-kvm-namas-laukia-naujuju-731971
"
Trakų r. sav., Derionys
",Namas,€99 000,https://www.kampas.lt/skelbimai/namas-trakuose-derioniu-k-traku-rajone-aukstadvario-regioniniame-parke-derioniu-698994
"
Trakų r. sav., Kudrionių Giria
",Namas,€65 000,https://www.kampas.lt/skelbimai/namas-trakuose-kudrioniu-girios-k-674222
"
Trakų r. sav., Trakai
",Namas,€1 500 000,https://www.kampas.lt/skelbimai/namas-trakuose-traku-m-birutes-g-709452
"
Trakų r. sav., Senieji Trakai
",Butas,€99 900,https://www.kampas.lt/skelbimai/butas-trakuose-senuju-traku-k-nerudininku-g-814849
"
Trakų r. sav., Lentvaris
",Butas,€139 500,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-parduodamas-jaukus-3-kambariu-butas-uzmiestyje-privaciu-826912
"
Trakų r. sav., Lentvaris
",Butas,€95 700,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-parduodamas-jaukus-suremontuotas-3-kambariu-butas-826729
"
Trakų r. sav., Naujasis Lentvaris
",Butas,€130 000,https://www.kampas.lt/skelbimai/butas-trakuose-naujojo-lentvario-k-saules-g-mazaaukstes-statybos-kvartale-saules-814565
"
Trakų r. sav., Lentvaris
",Butas,€109 000,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-didelis-istiklintas-balkonas4-kambariu-butas-lentvaryje-826378
"
Trakų r. sav., Lentvaris
",Butas,€128 600,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-809949
"
Trakų r. sav., Lentvaris
",Butas,€76 400,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-817388
"
Trakų r. sav., Lentvaris
",Butas,€39 900,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-namo-dalis-butasnamo-dalis-butas-lentvaryje-autonominis-825275
"
Trakų r. sav., Užukampis
",Butas,€199 600,https://www.kampas.lt/skelbimai/butas-trakuose-uzukampio-k-uzukampio-g-parduodamas-butas-dvibuciame-sublokuotame-818960
"
Trakų r. sav., Lentvaris
",Butas,€37 999,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-parduodamas-neirengtas-3-ju-kambariu-butas-kilimu-g-816212
"
Trakų r. sav., Lentvaris
",Butas,€39 900,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-parduodamas-30-kvm-butas-lentvaryje-bendra-informacija-817383
"
Trakų r. sav., Lentvaris
",Butas,€45 000,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-lentvaryje-centrineje-dalyje-parduodama-namo-dalis-6193-817352
"
Trakų r. sav., Lentvaris
",Butas,€39 900,https://www.kampas.lt/skelbimai/butas-trakuose-lentvario-k-unikalus-butasunikalus-13589-kvm-butas-lentvaryje-817347
"
Trakų r. sav., Būda
",Butas,€29 500,https://www.kampas.lt/skelbimai/butas-trakuose-budos-k-tik-600-m-nuo-angelu-kalvos-8-ezeru-apsuptyje-galves-akmena-816892
"
Trakų r. sav., Trakai
",Butas,€169 000,https://www.kampas.lt/skelbimai/butas-trakuose-traku-m-traku-g-parduodamas-sviesus-3-kambariu-butas-netoli-traku-793379
"
Trakų r. sav., Trakai
",Butas,€169 000,https://www.kampas.lt/skelbimai/butas-trakuose-traku-m-ezero-g-parduodami-apartamentai-trakuose-prie-totoriskiu-792943
